Player, Shots or Saves, Shots or Saves Against Opponent, Shots or Saves in March, Shots or Saves at condition, Average of Conditions
Robert Hagg, 1.027027027027027, 1.2, 0.8620689655172413, 1.1197604790419162, 1.052214117896546
Jordan Oesterle, 1.25, 1.2222222222222223, 1.2222222222222223, 1.2383720930232558, 1.233204134366925
Dylan Larkin, 2.9652777777777777, 2.6, 3.010204081632653, 2.959731543624161, 2.883803350758648
Robby Fabbri, 1.7424242424242424, 1.7692307692307692, 1.825, 1.7796610169491525, 1.779079007151041
Alex Nedeljkovic, 26.68, 33.666666666666664, 26.26923076923077, 26.893617021276597, 28.37737861429351
Jake Walman, 1.9846153846153847, 1.3333333333333333, 2.1, 2.2, 1.9044871794871796
Ville Husso, 26.63888888888889, 23.5, 25.5, 26.661016949152543, 25.574976459510356
Austin Czarnik, 1.116564417177914, 1.5, 0.8571428571428571, 1.2073170731707317, 1.1702560868728757
Matt Luff, 1.2448979591836735, 1.0, 1.3333333333333333, 1.1041666666666667, 1.1705994897959184
Gustav Lindstrom, 0.6129032258064516, 0.16666666666666666, 0.3333333333333333, 0.609375, 0.4305695564516129
Pius Suter, 1.7826086956521738, 1.6666666666666667, 1.5365853658536586, 1.892156862745098, 1.7195043977293993
Joe Veleno, 1.097902097902098, 1.0, 1.1481481481481481, 1.0735294117647058, 1.079894914453738
Filip Zadina, 2.0, 1.75, 2.1818181818181817, 1.97, 1.9754545454545454
Moritz Seider, 2.0258064516129033, 2.5, 2.3333333333333335, 2.128205128205128, 2.246836228287841
Lucas Raymond, 2.0952380952380953, 3.0, 2.5185185185185186, 2.3066666666666666, 2.48010582010582
Simon Edvinsson, 1.3333333333333333, 0, 1.3333333333333333, 1.3333333333333333, 1.0
Jonathan Toews, 2.5349056603773583, 2.388059701492537, 2.554913294797688, 2.6385767790262173, 2.5291138589234503
Alex Stalock, 23.82857142857143, 13.6, 24.125, 22.646341463414632, 21.049978222996515
Tyler Johnson, 2.0542986425339365, 1.875, 1.928, 2.009063444108761, 1.9665905216606743
Jarred Tinordi, 0.7218543046357616, 0.5, 0.7777777777777778, 0.7391304347826086, 0.6846906292990369
Petr Mrazek, 25.063636363636363, 21.444444444444443, 24.467741935483872, 24.0875, 23.765830685891167
Colin Blackwell, 1.2041884816753927, 1.2, 1.25, 1.2527472527472527, 1.2267339336056613
Connor Murphy, 1.4175824175824177, 4.0, 2.0, 1.5660377358490567, 2.2459050383578685
Jujhar Khaira, 1.0577507598784195, 1.1, 1.0175438596491229, 1.1402439024390243, 1.0788846304916417
Andreas Athanasiou, 2.1840354767184036, 1.8333333333333333, 2.134020618556701, 2.099099099099099, 2.0626221319268843
